line,rank,word,definition,us,uk,pos,issue
12,5,a,一个；一种,/ˈeɪ/,,,英音空
15,8,have,有；拥有；已经（助动词）,/ˈhæv/,,,英音空
21,15,he,他,/ˈhi/,,,英音空
24,18,do,做；进行；完成；助动词,/ˈdu/,,,英音空
37,33,as,作为；如同；当...时,/ˈæz/,,介词,英音空
94,92,use,使用；利用；用途；用法,/ˈjus/,,,英音空
95,93,no,不；没有；禁止,/ˈnoʊ/,,,英音空
146,151,put,放；放置；表达,/ˈpʊt/,,,英音空
170,176,American,美国的；美国人,/əˈmɛɹəkən/,,,英音空
192,204,number,数字；号码；数量；编号,/ˈnəmbɝ/,,,英音空
197,210,live,居住；生活；活着的；直播的,/ˈɫaɪv/,,,英音空
198,211,Mr,先生,/ˈmɪstɝ/,,,英音空
216,230,mother,母亲；妈妈,/ˈməðɝ/,,,英音空
229,244,job,工作；职位；任务；职责,/ˈdʒɑb/,,,英音空
243,258,house,房子；房屋；住宅；议院,/ˈhaʊs/,,,英音空
288,306,real,真实的；真正的；实际的,/ˈɹiɫ/,,,英音空
291,309,minute,分钟；片刻；微小的；详细的,/ˈmɪnət/,,,英音空
300,319,lead,领导；导致；铅,/ˈɫɛd/,,,英音空
316,338,read,阅读；读到；朗读；理解,/ˈɹɛd/,,,英音空
339,363,research,研究；调查,/ˈɹisɝtʃ/,,,英音空
356,382,second,第二；秒；片刻；其次,/ˈsɛkənd/,,,英音空
365,392,process,过程；程序；处理；加工,/ˈpɹɑˌsɛs/,,,英音空
421,451,report,报告；报道；汇报；举报,/ɹiˈpɔɹt/,,,英音空
441,473,return,返回；归还；回报；收益,/ɹiˈtɝn/,,,英音空
480,517,record,记录；唱片；纪录；记载,/ˈɹɛkɝd/,,,英音空
482,519,wear,穿；戴；磨损；服装,/ˈwɛɹ/,,,英音空
497,535,project,"计划, 设计, 事业",/ˈpɹɑdʒɛkt/,,,英音空
504,543,produce,生产；制造；农产品,/ˈpɹoʊdus/,,,英音空
521,562,quite,"相当, 完全, 十分",/ˈkwaɪt/,,,英音空
556,600,organization,组织；机构,/ˌɔɹɡənəˈzeɪʃən/,,,英音空
573,621,realize,意识到；实现,/ˈɹiəˌɫaɪz/,,,英音空
590,639,Congress,"国会, 会议, 讨论会，会议, 会合",/ˈkɑŋɡɹəs/,,,英音空
599,650,close,关闭；结束；接近的,/ˈkɫoʊs/,,,英音空
607,658,defense,防御；防卫,/dɪˈfɛns/,,,英音空
609,660,increase,"增加, 增进, 利益，增加, 加大",/ˈɪnˌkɹis/,,,英音空
619,670,subject,"科目, 主题, 臣民, 主语, 题目, (事",/ˈsəbdʒɪkt/,,,英音空
636,688,represent,代表；表示；象征；体现,/ˌɹɛpɹɪˈzɛnt/,,,英音空
645,698,color,颜色,/ˈkəɫɝ/,,,英音空
651,705,fine,好的；精细的；罚款,/ˈfaɪn/,,,英音空
725,785,recognize,"认出, 认可, 承认, 公认, 识别, 赏识",/ˈɹɛkəɡˌnaɪz/,,,英音空
737,797,TV,电视,/ˈtiˈvi/,,,英音空
751,812,outside,外面；外部；在...外面,/ˈaʊtˈsaɪd/,,介词,英音空
758,820,present,现在的；出席的；礼物；提出,/ˈpɹɛzənt/,,,英音空
764,827,PM,下午,/ˈpiˈɛm/,,,英音空
770,833,ok,好的，可以,/ˈoʊˈkeɪ/,,,英音空
822,900,nice,"美好的, 和蔼的, 正派的, 做得好的, 精",/ˈnaɪs/,,,英音空
836,918,finish,"完成, 结束, 末道漆, 磨光, 完美",/ˈfɪnɪʃ/,,,英音空
839,922,impact,影响,/ˈɪmpækt/,,,英音空
843,926,charge,"指控, 费用, 冲锋, 电荷, 炸药, 主管",/ˈtʃɑɹdʒ/,,,英音空
855,941,apply,"涂, 应用，申请, 适用",/əˈpɫaɪ/,,,英音空
877,965,evening,"傍晚, 晚间, 末期",/ˈivnɪŋ/,,,英音空
878,966,affect,"影响, 感动, 假装, 模仿, 爱好, 倾向",/əˈfɛkt/,,,英音空
879,967,inside,内部，内脏,/ˈɪnˌsaɪd/,,介词,英音空
907,1000,detail,"细节, 详情，详述, 选派",/ˈditeɪɫ/,,,英音空
934,1031,address,地址；演说；处理；应对,/ˈæˌdɹɛs/,,,英音空
939,1038,Mrs,夫人，太太,/ˈmɪsɪz/,,,英音空
966,1065,mouth,"嘴, 口, 口腔, 口状物",/ˈmaʊθ/,,,英音空
988,1090,none,没有一个；毫无,/ˈnən/,,,英音空
994,1096,wind,"风, 气息, 气味, 呼吸, 风声, 趋势,",/ˈwaɪnd/,,,英音空
1013,1116,reform,"改革, 改正, 改造",/ɹəˈfɔɹm/,,,英音空
1019,1124,release,释放；发布；发行；放开,/ɹiˈɫis/,,,英音空
1026,1132,recall,"回忆, 召回, 撤消",/ˈɹiˌkɔɫ/,,,英音空
1048,1156,object,"物体, 目标, 目的, 对象, 宾语, 客体",/ˈɑbdʒɛkt/,,,英音空
1055,1163,perfect,完美的；完成时,/ˈpɝˌfɪkt/,,,英音空
1058,1166,conduct,"行为, 举动, 指导",/ˈkɑndəkt/,,,英音空
1073,1183,conflict,冲突,/ˈkɑnfɫɪkt/,,,英音空
1076,1187,British,英国的；英国人,/ˈbɹɪtɪʃ/,,,英音空
1082,1195,afternoon,"午后, 下午",/ˌæftɝˈnun/,,,英音空
1083,1196,AM,上午,/ˈæm/,,,英音空
1093,1207,African,非洲的；非洲人,/ˈæfɹəkən/,,,英音空
1106,1222,Chinese,中国的；中国人；中文,/tʃaɪˈniz/,,,英音空
1128,1247,survey,"纵览, 视察, 测量, 俯瞰, 调查",/ˈsɝˌveɪ/,,,英音空
1129,1248,supposed,假定的；应该,/səˈpoʊzd/,,,英音空
1134,1253,refuse,"拒绝, 谢绝，拒绝",/ˈɹɛfˌjuz/,,,英音空
1146,1269,European,欧洲的；欧洲人,/ˌjʊɹəˈpiən/,,,英音空
1153,1276,contract,"合约, 婚约, 契约",/ˈkɑnˌtɹækt/,,,英音空
1199,1325,collect,"收集, 聚集, 集中, 搜集",/kəˈɫɛkt/,,,英音空
1207,1334,river,"河, 江，河流, 江河, 内河",/ˈɹɪvɝ/,,,英音空
1215,1343,path,"路径, 小路, 道路, 途径, 路线, 轨道",/ˈpæθ/,,,英音空
1231,1361,associate,"同伴, 伙伴, 关联的事物",/əˈsoʊsiˌeɪt/,,,英音空
1239,1370,Christmas,圣诞节,/ˈkɹɪsməs/,,,英音空
1257,1391,review,评审,/ˌɹivˈju/,,,英音空
1261,1396,document,"文件, 公文, 文档",/ˈdɑkjəmɛnt/,,,英音空
1295,1434,committee,委员会,/kəˈmɪti/,,,英音空
1300,1441,Indian,印度的；印度人,/ˈɪndiən/,,,英音空
1305,1446,neighbor,邻居,/ˈneɪbɝ/,,,英音空
1311,1455,combine,"(使)联合, (使)结合",/ˈkɑmbaɪn/,,,英音空
1340,1489,contact,"联系, 交际, 熟人, 接触",/ˈkɑnˌtækt/,,,英音空
1349,1498,flower,"花, 开花植物, 精华, 盛时",/ˈfɫaʊɝ/,,,英音空
1353,1502,appropriate,"适当的，适当的, 拨出, 占用",/əˈpɹoʊpɹiˌeɪt/,,,英音空
1354,1503,supply,"补给, 供给, 供应品",/səˈpɫaɪ/,,,英音空
1366,1517,progress,进展,/ˈpɹɑˌɡɹɛs/,,,英音空
1392,1548,abuse,滥用；虐待；辱骂,/əbˈjus/,,,英音空
1414,1571,Russian,俄罗斯的；俄语,/ˈɹəʃən/,,,英音空
1432,1591,reading,阅读,/ˈɹɛdɪŋ/,,,英音空
1447,1607,complex,复杂的；复合的；综合体,/ˈkɑmpɫɛks/,,,英音空
1450,1610,invite,"邀请, 请求, 引起, 招致，邀请",/ˌɪnˈvaɪt/,,,英音空
1472,1633,poll,"投票, 民意测验, 选举投票, 投票数, 一",/ˈpoʊɫ/,,,英音空
1487,1651,okay,"好, 可以, 行, 对, 好吗, 很好",/ˌoʊˈkeɪ/,,,英音空
1495,1659,organize,组织；安排；整理,/ˈɔɹɡəˌnaɪz/,,,英音空
1498,1662,Iraqi,伊拉克的,/ˌaɪˈɹæki/,,,英音空
1531,1703,e-mail,电子邮件,/ˈiˌmeɪɫ/,,,英音空
1556,1731,Japanese,日本的；日本人；日语,/ˌdʒæpəˈniz/,,,英音空
1568,1745,content,"内容, 满足, 意义, 要旨",/ˈkɑntɛnt/,,,英音空
1579,1758,file,"档案, 公文箱, 文件夹, 文件, 卷宗,",/ˈfaɪɫ/,,,英音空
1593,1774,long-term,长期的,/ˈɫɔŋˈtɝm/,,,英音空
1595,1776,contrast,"差别, 对比, 对照物，使对比",/ˈkɑntɹæst/,,,英音空
1624,1809,Jewish,犹太的,/ˈdʒuɪʃ/,,,英音空
1626,1811,estimate,"估计, 判断，估计, 评价, 判断",/ˈɛstəˌmeɪt/,,,英音空
1653,1842,used,用过的；习惯的,/ˈjuzd/,,,英音空
1666,1858,row,"排, 行, 街道, 划船, 吵闹",/ˈɹoʊ/,,,英音空
1689,1884,secret,"秘密, 机密, 秘诀, 秘方",/ˈsikɹət/,,,英音空
1706,1905,separate,分开的；单独的；分离,/ˈsɛpɝˌeɪt/,,,英音空
1713,1919,tear,"泪滴, 眼泪, 撕, 扯, 裂缝, 激怒,",/ˈtɛɹ/,,,英音空
1744,1955,overall,"全部的, 全体的, 从头至尾的, 一切在内的",/ˈoʊvɝˌɔɫ/,,,英音空
1786,2003,emphasize,强调,/ˈɛmfəˌsaɪz/,,,英音空
1800,2019,expose,"使暴露, 使曝光, 揭穿, 陈列",/ɪkˈspoʊz/,,,英音空
1803,2022,Jew,犹太人,/ˈdʒu/,,,英音空
1822,2046,reject,拒绝；排斥；次品,/ˈɹidʒɛkt/,,,英音空
1841,2068,lower,降低，较低的,/ˈɫoʊɝ/,,,英音空
1867,2102,Israeli,以色列的,/ˌɪzˈɹeɪɫi/,,,英音空
1880,2117,prayer,祈祷,/ˈpɹeɪɝ/,,,英音空
1881,2118,suspect,"被怀疑者, 嫌疑犯",/ˈsəsˌpɛkt/,,,英音空
1890,2127,permit,"许可证, 许可, 执照, 通行证",/ˈpɝˌmɪt/,,,英音空
1896,2133,graduate,"毕业生, 量杯",/ˈɡɹædʒəˌweɪt/,,,英音空
1911,2150,recover,"重新获得, 恢复, 复原, 拯救",/ɹɪˈkəvɝ/,,,英音空
1947,2187,layer,"层, 产卵鸡, 放置者",/ˈɫeɪɝ/,,,英音空
1960,2205,transform,"使转换, 改变, 改造, 使...变形",/ˈtɹænsfɔɹm/,,,英音空
1962,2208,leading,主要的；领导的,/ˈɫidɪŋ/,,,英音空
1964,2210,consist,"组成, 存在于, 一致",/kənˈsɪst/,,,英音空
1969,2216,desert,沙漠；抛弃,/ˈdɛzɝt/,,,英音空
1973,2221,Arab,阿拉伯的,/ˈæɹəb/,,,英音空
1976,2225,Spanish,西班牙的；西班牙语,/ˈspænɪʃ/,,,英音空
2007,2262,resolve,"决定, 分解, 决心",/ɹiˈzɑɫv/,,,英音空
2012,2268,Mexican,墨西哥的,/ˈmɛksəkən/,,,英音空
2043,2305,implement,"工具, 器具, 手段",/ˈɪmpɫəmənt/,,,英音空
2071,2335,transfer,"迁移, 移动, 传递, 转让, 转移, 过户",/ˈtɹænsfɝ/,,,英音空
2072,2336,analyze,分析,/ˈænəˌɫaɪz/,,,英音空
2076,2343,prospect,"景色, 展望，勘探, 勘察",/ˈpɹɑspɛkt/,,,英音空
2098,2371,Asian,亚洲的；亚洲人,/ˈeɪʒən/,,,英音空
2131,2407,so-called,所谓的,/ˈsoʊˈkɔɫd/,,,英音空
2151,2430,ally,"同盟者, 同盟国, 助手",/ˈæɫaɪ/,,,英音空
2156,2435,tower,"塔, 高楼, 堡垒，高耸, 翱翔",/ˈtaʊɝ/,,,英音空
2167,2446,peer,"同等的人, 匹敌, 贵族",/ˈpɪɹ/,,,英音空
2211,2499,construct,"构造, 建造, 对...进行构思, 作图",/ˈkɑnstɹəkt/,,,英音空
2213,2501,pan,"平锅, 浅盘, 盆地, 硬土层, 拍摄全景",/ˈpæn/,,,英音空
2219,2510,CEO,首席执行官,/ˈsiˌiˈoʊ/,,,英音空
2244,2537,concert,"音乐会, 和声, 一致，协力, 协调",/ˈkɑnsɝt/,,,英音空
2255,2549,Latin,拉丁的；拉丁语,/ˈɫætən/,,,英音空
2260,2555,Palestinian,巴勒斯坦的,/ˌpæɫɪˈstɪniən/,,,英音空
2261,2556,pace,"速度, 步调, 步法，踱步, 缓慢走",/ˈpeɪs/,,,英音空
2265,2560,essay,"随笔, 短文, 评论, 企图，试图",/ˈɛˌseɪ/,,,英音空
2271,2566,restore,"回复, 恢复, 归还, 修补, 修复",/ɹɪˈstɔɹ/,,,英音空
2284,2584,criticize,批评,/ˈkɹɪtɪˌsaɪz/,,,英音空
2304,2608,routine,"常规, 日常工作, 惯例, 例行公事",/ɹuˈtin/,,,英音空
2310,2615,Muslim,穆斯林的,/ˈməzɫəm/,,,英音空
2311,2617,fiber,纤维,/ˈfaɪbɝ/,,,英音空
2313,2619,Islamic,伊斯兰的,/ˌɪzˈɫɑmɪk/,,,英音空
2317,2623,incorporate,"合并的, 组成公司的, 一体化的",/ˌɪnˈkɔɹpɝˌeɪt/,,,英音空
2338,2646,advocate,"提倡者, 拥护者，主张, 提倡",/ˈædvəˌkeɪt/,,,英音空
2351,2660,Italian,意大利的；意大利人,/ˌɪˈtæɫjən/,,,英音空
2352,2661,Canadian,加拿大的；加拿大人,/kəˈneɪdiən/,,,英音空
2387,2707,resort,"度假胜地, 手段, 凭借, 常去之地",/ɹiˈsɔɹt/,,,英音空
2433,2760,Olympic,奥运会的,/oʊˈɫɪmpɪk/,,,英音空
2505,2844,singer,歌手,/ˈsɪŋɝ/,,,英音空
2510,2850,offense,冒犯；进攻,/əˈfɛns/,,,英音空
2512,2852,DNA,脱氧核糖核酸,/ˈdiˌɛˈneɪ/,,,英音空
2516,2858,protest,"抗议, 反对, 抗议书, 断言",/ˈpɹoʊˌtɛst/,,,英音空
2552,2899,entrance,入口，进入,/ˈɛntɹəns/,,,英音空
2558,2907,characterize,以...为特征,/ˈkɛɹəktɝˌaɪz/,,,英音空
2567,2918,convert,"皈依者, 改变宗教信仰者",/ˈkɑnvɝt/,,,英音空
2590,2945,segment,部分，片段,/ˈsɛɡmənt/,,,英音空
2599,2955,Irish,爱尔兰的；爱尔兰人,/ˈaɪɹɪʃ/,,,英音空
2637,2999,counselor,辅导员；顾问,/ˈkaʊnsəɫɝ/,,,英音空
2664,3030,closer,更近的,/ˈkɫoʊsɝ/,,,英音空
2708,3079,PC,个人电脑,/ˈpiˈsi/,,,英音空
2710,3081,impress,"印象, 特征, 印记",/ˈɪmˌpɹɛs/,,,英音空
2715,3087,contest,"竞赛, 争论，竞争, 争取, 争辩",/ˈkɑntɛst/,,,英音空
2743,3119,humor,幽默,/ˈhjumɝ/,,,英音空
2782,3163,sue,"控告, 起诉, 请求",/ˈsu/,,,英音空
2784,3165,overlook,"俯瞰, 远眺, 没注意到",/ˈoʊvɝˌɫʊk/,,,英音空
2831,3223,legitimate,"合法的, 正当的, 婚生的",/ɫəˈdʒɪtəmət/,,,英音空
2837,3230,wound,"创伤, 伤口, 伤疤, 伤害, 痛苦",/ˈwaʊnd/,,,英音空
2839,3232,shower,"阵雨, 淋浴, 一阵, 展出者, 显示者",/ˈʃaʊɝ/,,,英音空
2884,3282,discourse,话语，论述,/ˈdɪskɔɹs/,,,英音空
2896,3294,moderate,"适度的, 稳健的, 中等的, 节制的",/ˈmɑdɝˌeɪt/,,,英音空
2902,3300,frequent,"时常发生的, 频繁的, 快速的",/ˈfɹiˌkwɛnt/,,,英音空
2913,3313,sin,"罪, 犯罪, 过失, 失礼，犯",/ˈsɪn/,,,英音空
2932,3336,mouse,"老鼠, 胆小羞怯的人, 鼠标",/ˈmaʊs/,,,英音空
2936,3340,African-American,非裔美国人,/ˈæfɹəkənəˈmɛɹəkən/,,,英音空
2948,3353,sake,缘故；目的；利益,/ˈseɪk/,,,英音空
2969,3377,attribute,"属性, 标志, 定语",/ˈætɹəbˌjut/,,,英音空
2978,3388,grave,"墓穴, 坟墓, 终结, 死亡",/ˈɡɹeɪv/,,,英音空
2987,3397,rose,玫瑰；上升,/ˈɹoʊz/,,,英音空
2990,3400,decrease,"减少, 减少量，减少",/ˈdiˌkɹis/,,,英音空
3005,3417,upset,"弄翻的, 混乱的, 心烦的",/ˈəpˌsɛt/,,,英音空
3006,3418,remark,"评论, 注意，评论, 谈论",/ɹiˈmɑɹk/,,,英音空
3007,3419,resign,"辞职, 放弃, 使顺从，辞职, 屈从",/ɹiˈsaɪn/,,,英音空
3017,3430,counseling,咨询；辅导,/ˈkaʊnsəɫɪŋ/,,,英音空
3026,3442,combat,"争斗, 战斗，战斗, 争斗",/ˈkɑmbæt/,,,英音空
3041,3458,compound,"混合物, 复合词, 化合物, 院子",/ˈkɑmpaʊnd/,,,英音空
3065,3488,export,"输出品, 输出，输出, 出口",/ˈɛkspɔɹt/,,,英音空
3086,3514,excuse,"原谅, 申辩, 做为...的托辞",/ɪkˈskjus/,,,英音空
3091,3521,T-shirt,T恤,/ˈtiˌsɝt/,,,英音空
3093,3524,civilization,文明,/ˌsɪvəɫɪˈzeɪʃən/,,,英音空
3104,3538,Islam,伊斯兰教,/ˈɪsˌɫɑm/,,,英音空
3111,3547,Hispanic,西班牙裔的,/hɪˈspænɪk/,,,英音空
3114,3551,airplane,飞机,/ˈɛɹˌpɫeɪn/,,,英音空
3118,3555,Korean,韩国的；韩国人,/ˈkɹiən/,,,英音空
3120,3557,initiate,"入会, 开始，新加入的",/ˌɪˈnɪʃiˌeɪt/,,,英音空
3129,3567,rumor,谣言,/ˈɹumɝ/,,,英音空
3142,3580,lens,"透镜, 镜头, 镜片, 晶状体",/ˈɫɛnz/,,,英音空
3157,3596,cave,"洞, 穴，凹陷, 塌落",/ˈkeɪv/,,,英音空
3178,3624,consult,"商讨, 商量, 协商, 会诊",/kənˈsəɫt/,,,英音空
3241,3700,pad,"填补, 衬垫, 印色盒, 路",/ˈpæd/,,,英音空
3254,3715,convict,"囚犯, 罪犯，宣告有罪, 使知罪",/ˈkɑnvɪkt/,,,英音空
3288,3759,mandate,授权，命令,/ˈmænˌdeɪt/,,,英音空
3301,3776,reserve,"储备品, 贮量, 后备军, 自然保护区, 保",/ɹiˈzɝv/,,,英音空
3306,3782,apologize,道歉,/əˈpɑɫəˌdʒaɪz/,,,英音空
3328,3807,Olympics,奥运会,/oʊˈɫɪmpɪks/,,,英音空
3334,3813,rebel,"叛徒, 反叛者",/ˈɹɛbəɫ/,,,英音空
3338,3818,pension,"养老金, 退休金, 津贴, 年金, 抚恤金,",/ˈpɛnʃən/,,,英音空
3339,3819,resume,"重新开始, 取回, 恢复，再开始",/ˈɹɛzəˌmeɪ/,,,英音空
3350,3831,traveler,旅行者,/ˈtɹævəɫɝ/,,,英音空
3388,3873,nonprofit,非营利的,/nɑnˈpɹɑfət/,,,英音空
3417,3910,repair,"修理, 补救, 修复",/ɹɪˈpɛɹ/,,,英音空
3422,3916,envelope,"信封, 封套, 封袋，膜, 包袋",/ˈɛnvəˌɫoʊp/,,,英音空
3463,3971,full-time,全职的,/ˈfʊɫˌtaɪm/,,,英音空
3484,3999,minimize,最小化,/ˈmɪnəˌmaɪz/,,,英音空
3488,4003,isolate,"使隔离, 使孤立, 使绝缘，隔离种群",/ˈaɪsəˌɫeɪt/,,,英音空
3521,4045,abstract,"抽象的, 深奥的，摘要, 抽象概念",/ˈæbˌstɹækt/,,,英音空
3530,4055,romance,"冒险故事, 浪漫史, 传奇文学",/ˈɹoʊmæns/,,,英音空
3545,4074,processing,处理,/ˈpɹɑsɛsɪŋ/,,,英音空
3557,4087,import,"进口货, 进口, 输入, 含义, 重要性",/ˈɪmˌpɔɹt/,,,英音空
3569,4102,mate,"配偶, 对手, 助手, (象棋)将死",/ˈmeɪt/,,,英音空
3571,4104,Greek,希腊的；希腊语,/ˈɡɹik/,,,英音空
3602,4138,bow,"弓, 眼睛框，用弓拉琴, 弯成弓形",/ˈbaʊ/,,,英音空
3605,4142,carpet,"地毯, 地毯状物，铺以地毯, 铺盖",/ˈkɑɹpət/,,,英音空
3621,4161,specialize,专攻,/ˈspɛʃəˌɫaɪz/,,,英音空
3639,4181,accent,"重音, 口音, 特点, 注重点",/ˈækˌsɛnt/,,,英音空
3680,4230,Cuban,古巴的,/ˈkjubən/,,,英音空
3690,4242,ass,驴，傻瓜，屁股,/ˈæs/,,,英音空
3698,4251,drawer,"抽屉, 开票人，抽屉",/ˈdɹɔɹ/,,,英音空
3705,4259,intimate,"亲密的, 私人的, 秘密的",/ˈɪnəmət/,,,英音空
3722,4280,instinct,"本能, 直觉，充满着的",/ˈɪnstɪŋkt/,,,英音空
3724,4282,aluminum,铝,/əˈɫumənəm/,,,英音空
3765,4328,utilize,利用,/ˈjutəˌɫaɪz/,,,英音空
3769,4332,Christianity,基督教,/ˌkɹɪstʃiˈænɪti/,,,英音空
3781,4345,insert,插入物,/ˈɪnˌsɝt/,,,英音空
3806,4372,tumor,肿瘤,/ˈtumɝ/,,,英音空
3815,4383,irony,"反语, 讽刺, 具有讽刺意味的事",/ˈaɪɹəni/,,,英音空
3823,4392,short-term,短期的,/ˌʃɔɹtˈtɝm/,,,英音空
3851,4422,exploit,"功绩, 勋绩",/ˈɛksˌpɫɔɪt/,,,英音空
3856,4428,upstairs,楼上,/əpˈstɛɹz/,,,英音空
3872,4446,well-known,著名的,/ˈwɛɫˈnoʊn/,,,英音空
3880,4454,patent,专利,/ˈpætənt/,,,英音空
3913,4494,catalog,目录,/ˈkætəɫɔɡ/,,,英音空
3927,4509,colorful,丰富多彩的,/ˈkəɫɝfəɫ/,,,英音空
3939,4522,organizational,组织的,/ˌɔɹɡənəˈzeɪʃənəɫ/,,,英音空
3970,4554,discount,"折扣, 贴现率，打折扣",/ˈdɪskaʊnt/,,,英音空
3992,4580,Persian,波斯的；波斯语,/ˈpɝʒən/,,,英音空
4002,4592,well-being,幸福；健康,/ˌwɛɫˈbiɪŋ/,,,英音空
4015,4605,premise,"前提, 房屋连地基, 上述各项",/ˈpɹɛmɪs/,,,英音空
4016,4606,specialty,专业；特产,/ˈspeɪʃəɫti/,,,英音空
4018,4608,artifact,制品，工件，人工制品,/ˈɑɹtəˌfækt/,,,英音空
4022,4612,two-thirds,三分之二,/ˌtuˈθɝdz/,,,英音空
4031,4621,high-tech,高科技的,/ˌhaɪˈtɛk/,,,英音空
4086,4684,elaborate,"精细的, 详尽的, 精心计划(或制作)的",/ɪˈɫæbɝˌeɪt/,,,英音空
4094,4693,transport,"运输, 运输工具, 激动, 狂喜, 流放犯",/ˈtɹænspɔɹt/,,,英音空
4134,4739,mobile,"移动的, 易变的, 机动的，活动物体",/ˈmoʊbəɫ/,,,英音空
4168,4780,suite,"随员, 套房, (一)组, (一)套, 组曲",/ˈswit/,,,英音空
4177,4791,old-fashioned,老式的,/ˌoʊɫdˈfæʃənd/,,,英音空
4181,4796,overnight,"前一天晚上, 一夜的逗留",/ˈoʊvɝˈnaɪt/,,,英音空
4185,4800,fragment,"碎片, 破片, 片段",/ˈfɹæɡmənt/,,,英音空
4198,4819,authorize,授权,/ˈɔθɝˌaɪz/,,,英音空
4230,4857,one-third,三分之一,/ˌwənˈθɝd/,,,英音空
4232,4859,update,更新,/ˈəpˌdeɪt/,,,英音空
4256,4889,neighboring,邻近的,/ˈneɪbɝɪŋ/,,,英音空
4263,4898,coordinate,"同等的人(或物), 坐标",/koʊˈɔɹdəˌneɪt/,,,英音空
4277,4915,articulate,"发音清晰的, 口才好的",/ɑɹˈtɪkjəˌɫeɪt/,,,英音空
4322,4966,organized,有组织的,/ˈɔɹɡəˌnaɪzd/,,,英音空
4343,4989,dictate,"听写, 口述, 口授",/ˈdɪkˌteɪt/,,,英音空
4351,4998,middle-class,中产阶级的,/ˈmɪdəɫˈkɫæs/,,,英音空
4366,4358,backend,后端；后台,/ˌbæˈkɛnd/,,技术,英音空
4370,4362,boolean,布尔值；布尔类型,/buˈɫiən/,,技术,英音空
4377,4369,console,控制台；终端,/ˈkɑnsoʊɫ/,,技术,英音空
4379,4371,dataset,数据集；数据集合,/ˈdeɪtəˌsɛt/,,技术,英音空
4380,4372,debug,调试；排错,/diˈbəɡ/,,技术,英音空
4381,4373,decrypt,解密,,/dɪkɹˈɪpt/,技术,美音空；
4397,4389,iterate,迭代；反复执行,,/ˈɪtəɹˌeɪt/,技术,美音空；
4401,4393,linux,Linux 操作系统,/ˈɫɪnəks/,,技术,英音空
4409,4401,optimize,优化,/ˈɑptəˌmaɪz/,,技术,英音空
4414,4406,plugin,插件；扩展,/ˈpɫəɡɪn/,,技术,英音空
4419,4411,recursive,递归的,/ˌɹiˈkɝsɪv/,,技术,英音空
4428,4420,scrum,Scrum 敏捷框架,,/skɹˈʌm/,技术,美音空；
4430,4422,serialize,序列化,/ˈsɪˌɹiəˌɫaɪz/,,技术,英音空
4441,4433,unix,Unix 操作系统,/ˈjunɪks/,,技术,英音空
4446,4437,roadmap,路线图；规划,/ˈɹoʊdˌmæp/,,商务,英音空
4451,4442,absent,缺席的；不在的,/ˈæbsənt/,,商务,英音空
4460,4451,overhead,经常性开支；管理费用,/ˈoʊvɝˈhɛd/,,商务,英音空
4488,4479,Dr,博士；医生（Doctor缩写）,/ˈdɑktɝ/,,基础,英音空
